"TYPE","NAME","ADDRESS","COMM_CODE","POINT"
"PHS Clinic","Acadia Community Health Centre","151 - 86 AV SE","ACA","POINT (-114.0709543 50.9750788)"
"Attraction","Peace Bridge",,,"POINT (-114.0782213 51.0534363)"
"Social Dev Ctr","Bowmont","5000 BOWNESS RD NW","MON","POINT (-114.1649694 51.0755318)"
"Attraction","Nickle Arts Museum (University of Calgary)","410 University CO NW","UOC","POINT (-114.1298274 51.0774592)"
"Community Centre","Meadowlark Park Community Centre","623 58 AV SW","MEA","POINT (-114.0778289 51.0010832)"
"Community Centre","Cedarbrae Community Centre","11024 Oakfield DR SW","CED","POINT (-114.1298953 50.9545543)"
"Library","Bowness Library","6532 BOWNESS RD NW","BOW","POINT (-114.1830419 51.0873262)"
"Community Centre","Parkhill/Stanley Park Community Centre","4013 Stanley RD SW","PKH","POINT (-114.0647758 51.0184849)"
"Community Centre","Whitehorn Community Centre","228 Whitehorn RD NE","WHI","POINT (-113.9669642 51.0887954)"
"Attraction","Calgary City Hall & Municipal Complex","800 Macleod TR SE","DNC","POINT (-114.0579415 51.0454065)"
"Hospital","Rockyview General Hospital","7007 - 14 ST SW","EAG","POINT (-114.0963349 50.9918356)"
"Library","Southwood Library","924 SOUTHLAND DR SW","SOW","POINT (-114.0861942 50.9635933)"
"Community Centre","North Glenmore Park Community Centre","2231 Longridge DR SW","NGM","POINT (-114.1120746 50.9981241)"
"Visitor Info","Calgary Chamber of Commerce","600 237 8 AV SE","DNC","POINT (-114.0583818 51.0451917)"
"Visitor Info","Tourism Calgary Airport","2000 Airport RD NE","CIA","POINT (-114.00926 51.1313168)"
"Community Centre","Lake Bonavista Downs Community Centre","1418 Lake Ontario RD SE","BDO","POINT (-114.0319305 50.9418799)"
"Community Centre","Dalhousie Community Centre","5432 Dalhart RD NW","DAL","POINT (-114.1597304 51.1128556)"
"Community Centre","Chaparral Residents Association","225 CHAPARRAL DR SE","CHA","POINT (-114.0364338 50.8863693)"
"Library","Giuffre Family Library","3223 14 ST SW","SOC","POINT (-114.0955177 51.0254526)"
"Community Centre","Huntington Hills Community Centre","520 78 AV NW","HUN","POINT (-114.0722928 51.1237335)"
"Attraction","TELUS Spark  Centre","220 ST GEORGES DR NE","REN","POINT (-114.0245989 51.053847)"
"Court","Alberta Provincial Court (Civil)","# 606-S 601 5 ST SW","DNC","POINT (-114.0741375 51.0469323)"
"Attraction","Tsuu T'ina Culture Museum","62 Old Agency Road, Tsuut'ina Nation, AB T2W3C4","CED","POINT (-114.1567118 50.9428565)"
"Community Centre","Citadel Community Centre","860 CITADEL DR NW","CIT","POINT (-114.1735342 51.1447296)"
"Social Dev Ctr","West Area","2539 33 AV SW","CFC","POINT (-114.1238214 51.0232461)"
"Community Centre","Erin Woods Community Centre","83 Erin Park DR SE","ERI","POINT (-113.9637517 51.0229024)"
"Community Centre","Beltline Neighbourhoods Association","102 17 AV SW","BLN","POINT (-114.0638502 51.0380025)"
